sample	metric	value
SRR6477510	mean_cov	0.7807180054347825
SRR6477510	mean_vaf	0.6770904816833142
SRR6477510	n_variants	4557.0
SRR6477514	mean_cov	0.7638731374570447
SRR6477514	mean_vaf	0.6805296295278671
SRR6477514	n_variants	4530.0
SRR6477516	mean_cov	0.5500377949308756
SRR6477516	mean_vaf	0.6735383395601869
SRR6477516	n_variants	4314.0
SRR6477511	mean_cov	0.7481065397260274
SRR6477511	mean_vaf	0.6760857858306589
SRR6477511	n_variants	4561.0
SRR6477501	mean_cov	0.3040121864018335
SRR6477501	mean_vaf	0.6956394295337472
SRR6477501	n_variants	9257.0
SRR6477507	mean_cov	0.31449894129082423
SRR6477507	mean_vaf	0.7139084197413699
SRR6477507	n_variants	9723.0
SRR6477508	mean_cov	0.3276524405940594
SRR6477508	mean_vaf	0.6972230430790103
SRR6477508	n_variants	9698.0
SRR6477500	mean_cov	0.33349971189083816
SRR6477500	mean_vaf	0.7012310776190004
SRR6477500	n_variants	9553.0
