Chromosome	N_intervals	Mean_distance(bp)	Min(bp)	Max(bp)
chr1	2715	91479.3	1	18201201
chr10	1649	80866.2	2	2650274
chr11	1942	69387.5	1	1418364
chr12	1793	74166.3	1	2863221
chr13	1362	71852.4	3	1435542
chr14	1113	81467.1	2	2319588
chr14_GL000009v2_random	6	29603.5	1304	66166
chr14_GL000194v1_random	4	34594.8	12559	75917
chr14_GL000225v1_random	2	67094.5	57695	76494
chr14_KI270722v1_random	4	27664.5	12259	49001
chr14_KI270725v1_random	2	22979.0	15313	30645
chr15	914	92772.5	4	2918398
chr15_KI270727v1_random	6	69083.3	11510	205268
chr16	747	119087.2	1	10403681
chr16_KI270728v1_random	16	107736.7	41	551879
chr17	626	132452.4	2	4010283
chr17_GL000205v2_random	2	18995.5	10947	27044
chr18	972	82391.8	3	1751378
chr19	363	158693.0	14	2989635
chr1_KI270706v1_random	3	41061.0	3030	66589
chr1_KI270708v1_random	2	32019.5	16905	47134
chr1_KI270710v1_random	2	14836.5	12262	17411
chr1_KI270712v1_random	3	19071.3	11641	25741
chr2	3155	76545.6	2	2190134
chr20	623	102837.0	8	2463503
chr21	480	86182.3	17	2437299
chr22	280	143352.7	10	2331831
chr22_KI270731v1_random	2	15215.5	22	30409
chr3	2817	70154.6	2	2348221
chr3_GL000221v1_random	3	20686.3	9931	32184
chr4	3137	60473.7	1	2291000
chr4_GL000008v2_random	7	26116.9	9927	42474
chr5	2779	65158.3	2	3783785
chr6	2479	68690.8	1	1796983
chr7	2015	78902.4	1	3039573
chr8	2061	70190.7	1	2564229
chr9	1617	85398.6	1	17655339
chr9_KI270717v1_random	1	15516.0	15516	15516
chr9_KI270719v1_random	5	26649.4	283	68015
chrM	1	42.0	42	42
chrUn_GL000195v1	1	131412.0	131412	131412
chrUn_GL000214v1	5	22304.6	688	81886
chrUn_GL000218v1	2	22226.0	12244	32208
chrUn_GL000219v1	4	30070.5	454	52549
chrUn_GL000224v1	6	17960.5	38	65224
chrUn_KI270435v1	1	13307.0	13307	13307
chrUn_KI270442v1	8	26162.9	4916	62965
chrUn_KI270519v1	2	28536.0	555	56517
chrUn_KI270579v1	1	22680.0	22680	22680
chrUn_KI270742v1	5	30550.8	12272	66550
chrUn_KI270743v1	4	24706.5	202	54545
chrUn_KI270744v1	8	19198.2	146	68237
chrUn_KI270746v1	1	110.0	110	110
chrUn_KI270748v1	1	59279.0	59279	59279
chrUn_KI270749v1	1	11865.0	11865	11865
chrUn_KI270751v1	5	15886.8	7548	32097
chrX	3463	44755.7	1	4044689
chrY	101	533959.1	3	31185875
