Chromosome	Distance_bp
chr1 52
chr1 7468
chr1 361199
chr1 29
chr1 1184
chr1 12114
chr1 183648
chr1 28302
chr1 10445
chr1 12120
chr1 57764
chr1 45356
chr1 15051
chr1 49885
chr1 31909
chr1 1416683
chr1 95
chr1 66356
chr1 288655
chr1 53
chr1 417
chr1 3
chr1 4559
chr1 42
chr1 615
chr1 1777
chr1 27
chr1 15632
chr1 251
chr1 14
chr1 7539
chr1 102
chr1 10968
chr1 44
chr1 52054
chr1 140
chr1 24954
chr1 35072
chr1 443099
chr1 625946
chr1 201389
chr1 13805
chr1 10044
chr1 164795
chr1 39463
chr1 40635
chr1 14407
chr1 39446
chr1 72997
chr1 120596
chr1 84
chr1 19706
chr1 48
chr1 85816
chr1 142124
chr1 13244
chr1 866
chr1 13979
chr1 306933
chr1 274862
chr1 87258
chr1 86116
chr1 11869
chr1 11839
chr1 129074
chr1 23022
chr1 18565
chr1 69336
chr1 1119827
chr1 27
chr1 42372
chr1 112473
chr1 43169
chr1 41291
chr1 126007
chr1 164399
chr1 52067
chr1 451062
chr1 99127
chr1 242
chr1 296768
chr1 1213252
chr1 4396
chr1 418932
chr1 207373
chr1 793306
chr1 83230
chr1 101987
chr1 403991
chr1 366
chr1 999092
chr1 9696
chr1 47590
chr1 71208
chr1 10915
chr1 54749
chr1 42266
chr1 12611
chr1 114936
chr1 152308
chr1 75723
chr1 11943
chr1 57741
chr1 113408
chr1 219506
chr1 46569
chr1 124381
chr1 146335
chr1 15794
chr1 46018
chr1 24000
chr1 160766
chr1 98456
chr1 22416
chr1 76999
chr1 33746
chr1 24782
chr1 41042
chr1 9587
chr1 138141
chr1 283038
chr1 304239
chr1 431073
chr1 843533
chr1 187189
chr1 134502
chr1 38
chr1 305275
chr1 637266
chr1 144260
chr1 59130
chr1 32459
chr1 91326
chr1 29349
chr1 108876
chr1 118523
chr1 59391
chr1 10678
chr1 127337
chr1 38
chr1 1200583
chr1 100439
chr1 115667
chr1 240876
chr1 2495
chr1 16504
chr1 140562
chr1 465192
chr1 3
chr1 33576
chr1 186325
chr1 366259
chr1 688780
chr1 550002
chr1 6878
chr1 231603
chr1 454286
chr1 875829
chr1 216913
chr1 34965
chr1 151227
chr1 216770
chr1 171905
chr1 55078
chr1 344989
chr1 10992
chr1 295855
chr1 596138
chr1 722072
chr1 67
chr1 93
chr1 298208
chr1 116217
chr1 319401
chr1 863597
chr1 297165
chr1 319565
chr1 14834
chr1 83331
chr1 18943
chr1 170399
chr1 138351
chr1 129202
chr1 110
chr1 29881
chr1 106945
chr1 160125
chr1 154677
chr1 143540
chr1 45571
chr1 53486
chr1 53
chr1 28057
chr1 350757
chr1 432283
chr1 130477
chr1 70430
chr1 146380
chr1 64113
chr1 827736
chr1 537126
chr1 65243
chr1 83020
chr1 387665
chr1 79074
chr1 78220
chr1 180624
chr1 71079
chr1 10648
chr1 92664
chr1 54161
chr1 128
chr1 246950
chr1 20668
chr1 43784
chr1 160114
chr1 55896
chr1 184437
chr1 428474
chr1 40
chr1 411295
chr1 229952
chr1 237288
chr1 88512
chr1 329200
chr1 75558
chr1 3686
chr1 4144
chr1 192137
chr1 100131
chr1 107015
chr1 46285
chr1 82
chr1 5101
chr1 116329
chr1 39758
chr1 30586
chr1 333039
chr1 234956
chr1 449996
chr1 280825
chr1 65875
chr1 74161
chr1 458534
chr1 703812
chr1 447515
chr1 71656
chr1 8898
chr1 40039
chr1 2105
chr1 514277
chr1 14
chr1 38172
chr1 50408
chr1 29587
chr1 17453
chr1 300186
chr1 19042
chr1 249027
chr1 45606
chr1 119518
chr1 23675
chr1 9824
chr1 56184
chr1 11674
chr1 794
chr1 11738
chr1 16144
chr1 3779
chr1 7166
chr1 126315
chr1 263363
chr1 137
chr1 67658
chr1 6418
chr1 245006
chr1 38
chr1 281574
chr1 541737
chr1 375558
chr1 23747
chr1 114554
chr1 133286
chr1 98237
chr1 74910
chr1 74334
chr1 377060
chr1 82
chr1 44420
chr1 109487
chr1 20533
chr1 15133
chr1 30689
chr1 53401
chr1 104172
chr1 486731
chr1 80186
chr1 104047
chr1 52279
chr1 72704
chr1 567414
chr1 8117
chr1 32058
chr1 39305
chr1 18631
chr1 40242
chr1 28251
chr1 14406
chr1 83040
chr1 25265
chr1 36684
chr1 8795
chr1 2022
chr1 19238
chr1 40496
chr1 32629
chr1 29365
chr1 11923
chr1 5192
chr1 25170
chr1 2029
chr1 17578
chr1 326876
chr1 99989
chr1 86297
chr1 354089
chr1 49037
chr1 23436
chr1 14611
chr1 34441
chr1 96807
chr1 8850
chr1 9604
chr1 34219
chr1 143
chr1 5458
chr1 244
chr1 40002
chr1 38437
chr1 59545
chr1 14448
chr1 35301
chr1 29516
chr1 238139
chr1 32689
chr1 169201
chr1 29448
chr1 55864
chr1 360
chr1 28221
chr1 19519
chr1 16780
chr1 23822
chr1 60078
